SECUCODE,SECUNAME,EPSJB,EPSKCJB,YS,YSTZ,YSHZ,SJL,SJLTZ,SJLHZ,BPS,ROEPJ,MGXJJE,XSMLL,LRFP,GXL,NOTICEDATE,REPORTDATE,TYPE,COMPANYCODE
300684,中石科技,0.5172,0.4731,178146439.56,-21.0084093,-,33693426.47,-38.99459849,-,4.61784159,11.37,0.23292883,53.92604176,,-,2017-10-31T00:00:00,2015-12-31T00:00:00,3,80077134
300723,一品红,0.5,0.7,1028297463.73,29.74465301,-,60420200.01,49.88849959,-,1.63231493,41.85,0.28791254,53.44072444,,-,2017-10-30T00:00:00,2015-12-31T00:00:00,3,80507573
601019,山东出版,0.54,0.49,7750313408.09,3.58817883,-,984214161.69,5.04320563,-,2.42109873,23.14,0.43048727,31.51809454,,-,2017-10-30T00:00:00,2015-12-31T00:00:00,1,80191848
600110,诺德股份,0.14,-1.0288,1757795446.08,-8.76707021,29.0504,160607650.45,155.14651052,219.0873,1.74314953,8.56,0.37385587,13.39362828,不分配不转增,-,2017-10-26T00:00:00,2015-12-31T00:00:00,1,10000083
300733,西菱动力,0.52,0.47,512151646.92,18.20273187,-,62966561.33,16.54575109,-,3.525995,15.11,0.76140506,30.67914746,,-,2017-10-25T00:00:00,2015-12-31T00:00:00,3,80619318
002864,盘龙药业,0.66,0.64,256097405.31,4.23380094,-,42638231.45,6.40298061,-,4.43467459,15.97,0.6249343,64.66445076,,-,2017-10-25T00:00:00,2015-12-31T00:00:00,4,80607052
300721,怡达股份,1.1561,1.0366,1094713661.87,4.45942232,-,57574332.93,170.5000209,-,6.52,18.7,3.3361359,19.02970431,,-,2017-10-24T00:00:00,2015-12-31T00:00:00,3,80373755
300717,华信新材,0.88,0.87,239538700.95,11.78141108,-,42278761.62,33.46153063,-,5.01064069,19.27,1.0204137,36.92688533,,-,2017-10-24T00:00:00,2015-12-31T00:00:00,3,80509316
300720,海川智能,0.59,0.56,112821876.47,-3.52726322,-,31828196.69,1.14817122,-,3.67613189,17.01,0.67585146,59.58621061,,-,2017-10-24T00:00:00,2015-12-31T00:00:00,3,80509326
603507,振江股份,0.76,0.72,421883933.03,109.86461493,-,55868888.58,586.90857762,-,4.02016209,25.47,-0.66175116,38.93477947,,-,2017-10-24T00:00:00,2015-12-31T00:00:00,1,80509335
603916,苏博特,0.8,0.75,1314258624.72,-23.6913114,-,171360368.63,646.62294947,-,4.55410094,19.46,0.33022994,48.27711423,,-,2017-10-23T00:00:00,2015-12-31T00:00:00,1,80474376
300711,广哈通信,0.47,0.45,257469033.34,9.66844281,-,46692337.18,-0.01853928,-,1.91,24.13,0.31428201,57.24743388,,-,2017-10-19T00:00:00,2015-12-31T00:00:00,3,80605378
300719,安达维尔,-,-,311279585.49,5.107506,-,53711232.88,21.89405308,-,18.13761354,22.11,5.61519778,56.41655701,,-,2017-10-19T00:00:00,2015-12-31T00:00:00,3,80542760
002916,深南电路,0.77,0.48,3518673108.22,-3.28074329,-,161692927.24,-15.22191238,-,6.45438859,12.15,2.72772202,20.64968003,,-,2017-10-17T00:00:00,2015-12-31T00:00:00,4,80146737
300718,长盛轴承,1.18,1.05,373308785.91,-7.11588443,-,88791896.75,5.77929017,-,6.06961838,21.29,1.21461709,41.22972945,,-,2017-10-16T00:00:00,2015-12-31T00:00:00,3,80202123
