code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
603609,禾丰牧业,饲料,辽宁,31.24,4.18,8.31,564534.75,295024.47,145782.52,10597.24,0.13,0.085,3.7,2.86,20140808,193797.67,2.33,29.16,3.01,9.6,2.62,28398
600131,岷江水电,水力发电,四川,26.54,3.97,5.04,237917.42,16027.15,145664.52,4714.3,0.09,0.326,2.07,4.16,19980402,33807.62,0.67,21.44,29.56,18.96,14.44,46759
300131,英唐智控,元器件,深圳,69.92,6.28,10.7,386778.28,276060.16,4364.12,52091.6,0.49,0.031,1.78,4.84,20101019,26635.26,0.25,126.42,-52.14,8.11,2.69,55760
600975,新五丰,农业综合,湖南,18.17,4.69,6.53,185748.2,111129.92,58414.48,27837.47,0.43,0.315,1.93,3.96,20040609,28043.88,0.43,26.13,2212.44,22.07,17.44,65433
002838,道恩股份,塑料,山东,68.33,0.21,0.84,100975.28,73738.52,14619.36,36155.3,4.3,1.26,9.08,7.1,20170106,28821.55,3.43,27.7,32.44,24.38,9.92,7471
000732,泰禾集团,区域地产,福建,12.39,12.43,12.44,12336470.0,10787299.0,189538.56,462734.56,3.72,1.3719999999999999,14.46,1.18,19970704,477338.94,3.84,39.93,28.84,21.58,8.24,20056
600429,三元股份,乳制品,北京,49.54,8.85,14.98,805041.56,471809.59,203459.91,426153.41,2.85,0.114,3.86,1.96,20030915,-6047.53,-0.04,3.21,328.53,30.73,4.9,30949
000554,泰山石油,石油贸易,山东,1345.03,3.63,4.81,105191.07,11325.69,43323.81,18721.27,0.39,0.006,1.9,5.94,19931215,13521.99,0.28,-8.12,-42.67,8.77,0.15,48794
603585,苏利股份,化工原料,江苏,34.21,0.25,1.0,189506.23,139996.7,33551.96,77029.06,7.7,2.4,13.45,4.71,20161214,42240.26,4.22,20.28,56.87,33.48,13.72,12724
002234,民和股份,农业综合,山东,0.0,2.06,3.02,221426.22,68265.36,99621.81,86187.93,2.85,-0.251,3.16,4.12,20080516,-32778.76,-1.09,-23.59,-209.55,-11.17,-34.39,34955
600688,上海石化,石油加工,上海,11.79,73.05,108.0,3412369.25,1487588.13,1350237.0,53462.8,0.05,0.551,2.29,2.84,19931108,829646.0,0.77,-3.6,83.48,28.44,7.65,114205
