code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
002178,延华智能,建筑施工,上海,188.1,57364.37,72739.59,196970.3,136022.5,10722.41,33865.62,0.47,0.013000000000000001,1.6,5.94,20071101
601877,正泰电器,电气设备,浙江,22.17,131944.59,131944.59,1251896.63,909427.81,213750.3,182366.3,1.38,0.24600000000000002,5.34,4.08,20100121
002222,福晶科技,元器件,福建,127.1,41953.37,42750.0,70747.5,29388.81,33293.8,20943.95,0.49,0.037000000000000005,1.49,12.54,20080319
000795,英洛华,矿物制品,山西,347.6,65279.01,113368.4,188668.73,110893.47,47959.23,113469.02,1.0,0.006,1.34,6.44,19970808
300088,长信科技,元器件,安徽,89.71,109934.78,114943.99,607724.81,302313.94,162830.36,130171.05,1.13,0.038,3.1,4.43,20100526
300372,*欣泰,电气设备,辽宁,194.86,9036.75,17155.72,125602.36,101920.24,12520.99,15504.1,0.9,0.004,3.68,0.76,20140127
300064,豫金刚石,矿物制品,河南,63.78,60575.0,67812.03,362842.38,126079.96,146180.66,70058.06,1.03,0.047,2.92,4.11,20100326
300503,昊志机电,机械基件,广东,277.6,2500.0,10000.0,71913.8,55084.69,12523.62,26535.01,2.65,0.09,6.29,11.5,20160309
300512,中亚股份,专用机械,浙江,106.46,3375.0,13500.0,106108.11,76234.4,10713.5,6998.47,0.52,0.235,5.33,18.75,20160526
603069,海汽集团,公路,海南,80.07,7900.0,31600.0,148380.06,48951.4,0.0,0.0,0.0,0.077,3.06,8.12,20160712
300161,华中数控,机床制造,湖北,0.0,15637.24,16174.5,148998.61,110522.88,26135.6,48745.53,3.01,-0.223,4.82,5.73,20110113
002402,和而泰,元器件,深圳,99.47,24225.28,33218.19,138918.63,97803.11,22973.93,43853.84,1.32,0.07400000000000001,2.98,9.91,20100511
600136,当代明诚,影视音像,湖北,5617.28,24105.49,48718.21,308473.97,191470.52,615.84,192979.27,3.96,0.001,4.62,4.61,19980303
300519,新光药业,中成药,浙江,86.25,2000.0,8000.0,63199.48,51181.15,4252.1,23949.85,2.99,0.95,7.21,17.06,20160624
600079,人福医药,化学制药,湖北,42.98,103099.32,128604.9,2010007.25,985763.13,427973.91,378600.34,2.94,0.11599999999999999,6.16,3.23,19970606
300254,仟源医药,化学制药,山西,158.8,13735.4,20830.8,134293.75,48896.5,27066.25,47697.53,2.29,0.032,3.81,5.31,20110819
601011,宝泰隆,焦炭加工,黑龙江,1152.87,130874.56,136750.0,794420.81,122592.97,151861.23,211757.95,1.55,0.002,3.11,2.48,20110309
002533,金杯电工,电气设备,湖南,49.0,50323.14,55313.41,302555.47,210466.7,57357.8,80226.59,1.45,0.128,3.74,3.35,20101231
601668,中国建筑,建筑施工,北京,7.22,2994681.5,3000000.0,108281344.0,83713800.0,2451034.25,2352876.25,0.78,0.213,5.82,1.05,20090729
002600,江粉磁材,元器件,广东,446.79,43406.48,117721.18,628526.88,383006.41,100178.56,165663.75,1.41,0.006,3.09,3.65,20110715
002406,远东传动,汽车配件,河南,44.95,39061.48,56100.0,251113.95,149785.06,63834.55,89304.5,1.59,0.053,3.94,2.4,20100518
002435,长江润发,机械基件,江苏,164.42,17897.33,19800.0,145264.52,76388.67,38613.15,42608.17,2.15,0.028999999999999998,4.48,4.31,20100618
300452,山河药辅,化学制药,安徽,87.36,4042.7,9280.0,47602.87,31907.8,12010.99,15930.29,1.72,0.136,4.05,11.7,20150515
000570,苏常柴Ａ,机械基件,江苏,50.75,41137.42,56137.42,319733.44,191215.13,58446.76,16432.85,0.29,0.043,3.51,2.5,19940701
002552,宝鼎科技,机械基件,浙江,0.0,16789.89,30000.0,119571.61,30071.66,39074.9,34032.12,1.13,-0.043,2.65,5.38,20110225
300333,兆日科技,元器件,深圳,236.28,33089.51,33600.0,87463.4,59568.25,7228.0,38532.9,1.15,0.023,2.54,8.55,20120628
