code,name,mbrg,nprg,nav,targ,epsg,seg
002281,光迅科技,14.0834,-11.8559,42.1636,35.6224,-14.6067,42.1636
600449,宁夏建材,-7.4695,-11.8896,-0.1279,1.6614,-9.4258,3.9072
002330,得利斯,-20.9264,-11.9772,-4.5358,2.1713,-16.6667,-1.0345
000899,赣能股份,0.7532,-12.0258,19.2008,-3.0393,-11.9847,19.2987
002915,中欣氟材,3.4004,-12.1969,11.6587,17.4461,-14.0,11.7692
300165,天瑞仪器,-14.9408,-12.4672,2.1797,0.7549,-11.1111,2.2901
603615,茶花股份,1.5261,-12.4847,15.6309,11.734000000000002,-12.4777,15.6309
603679,华体科技,2.1719999999999997,-12.5059,16.0561,5.4992,-12.2804,16.1356
002419,天虹股份,6.022,-12.5274,5.769,9.5819,-12.987,5.7966
603638,艾迪精密,6.1312,-12.5306,13.1578,-0.6937,-12.5256,13.1578
300381,溢多利,0.183,-12.5387,124.1575,156.1151,-62.4027,117.2854
002315,焦点科技,-0.1921,-12.5427,2.1133,2.1515,-13.5593,1.5749
002014,永新股份,3.089,-12.6403,3.6085,3.7573,-12.963,3.7337
600308,华泰股份,-5.0795,-12.6606,0.293,3.5963,-6.3636,0.4376
000533,万家乐,68.6157,-12.7219,4.7292,1.9377,-30.7692,4.711
600834,申通地铁,3.867,-12.7536,5.1308,11.3455,-12.7515,5.1308
002374,丽鹏股份,6.2551,-12.8238,127.01799999999999,128.0976,-20.0,130.8208
002635,安洁科技,20.801,-12.988,8.7449,62.9295,-11.3924,7.2822
300685,艾德生物,43.6056,-13.2009,122.7415,59.8898,,122.7415
600880,博瑞传播,6.9806,-13.2197,5.0954,0.1197,-50.9434,4.1458
002653,海思科,21.9943,-13.2271,9.3632,17.0003,-12.5,9.3632
000570,苏常柴A,-14.9543,-13.3659,6.9596,4.0901,-15.3846,7.0381
002773,康弘药业,13.4016,-13.3691,16.0128,14.5066,-13.3789,15.9945
600017,日照港,2.3785,-13.4385,5.6335,10.5443,-28.4615,4.9806
603499,翔港科技,6.977,-13.4392,11.1546,8.371,,11.1546
