,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
3324,000540,中天金融,1.22,44.71,,38.79,,160357.96,48.31,10派2送5转10,02-17
3325,600777,新潮能源,-0.06,-200.0,1.88,-3.22,,-3857.75,-211.75,,02-17
3326,300179,四方达,0.17,13.33,3.31,5.35,0.18,3745.82,13.84,,02-17
3327,600984,建设机械,-0.53,1.52,,-19.69,,-12784.35,28.03,,02-17
3328,002268,卫士通,0.55,145.47,,13.23,,11943.59,207.34,,02-17
3329,600681,百川能源,0.01,-150.0,,10.77,,209.69,-136.98,,02-17
3330,600325,华发股份,0.79,19.88,,9.73,,64670.21,20.13,10派1,02-17
3331,300125,易世达,0.12,-33.33,9.29,1.35,0.95,1469.6,-32.61,,02-17
3332,002262,恩华药业,0.57,5.56,,23.77,,22327.11,26.68,,02-17
3333,600828,茂业商业,0.34,-5.05,,16.65,,19416.12,-5.06,10派0.5,02-17
3334,002540,亚太科技,0.53,48.14,,9.29,,22184.44,50.18,,02-17
3335,600637,东方明珠,0.71,15.97,,19.18,,78546.88,15.96,10派1.1,02-17
3336,002331,皖通科技,0.26,-21.92,,6.54,,5713.25,-19.26,10派0.5转2,02-17
3337,600306,商业城,0.18,-111.63,,38.7,,3225.97,-111.63,,02-17
3338,002657,中科金财,0.61,12.96,,9.75,,7770.29,38.7,,02-17
3339,000413,东旭光电,0.33,-35.29,,14.13,,88062.52,138.46,10派1,02-17
3340,600685,中船防务,0.15,596.68,,2.75,,15149.68,1013.97,,02-17
3341,600114,东睦股份,0.35,-2.78,3.66,10.42,,12337.12,68.02,10派1.2,02-17
3342,002249,大洋电机,0.39,30.0,,9.79,,29687.74,37.8,,02-17
3343,000663,永安林业,-0.1,-300.0,,-6.3,,-2066.59,-285.8,,02-17
3344,600660,福耀玻璃,1.11,15.63,,27.07,,221974.89,15.76,10派7.5,02-17
3345,000936,华西股份,0.08,33.33,,3.07,,5630.88,25.64,10派0.2,02-17
3346,300204,舒泰神,0.81,76.09,6.31,13.71,0.86,19527.92,78.22,,02-17
3347,601012,隆基股份,0.55,323.08,,9.48,,29355.39,313.85,,02-17
3348,300353,东土科技,0.12,-70.28,2.47,4.87,0.28,2032.58,-40.56,,02-16
3349,000681,视觉中国,0.23,1074.0,,14.92,,14176.85,3079.58,,02-16
