code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
603096,新经典,,,,18.59,-0.47,6043.73,25.81,,12-20
300621,维业股份,0.61,-7.58,2.65,26.14,-0.52,5512.42,39.46,,12-20
603179,新泉股份,0.32,23.08,3.28,10.37,0.15,3866.37,26.66,,12-20
300591,万里马,,,3.53,15.14,0.05,2921.37,44.1,,12-20
603903,中持股份,0.39,160.0,,15.7,-0.76,2649.38,188.89,,12-20
603444,吉比特,2.86,33.64,,101.85,3.47,15753.89,-1.78,,12-20
002855,捷荣技术,,,,30.02,,11536.91,-43.31,,12-20
002836,新宏泽,1.14,58.33,4.05,33.07,1.64,6853.89,57.9,,12-19
300583,赛托生物,,,,57.85,,4156.16,-2883.68,,12-19
603877,太平鸟,0.51,112.5,,22.62,1.27,21297.41,112.28,,12-19
603266,天龙股份,0.92,6.98,3.08,34.91,0.87,6880.44,6.14,,12-19
603037,凯众股份,0.95,,4.91,21.37,0.59,5691.69,8.93,,12-19
002840,华统股份,0.52,-1.89,3.83,14.31,0.74,5672.76,-1.96,,12-16
300585,奥联电子,0.37,131.25,1.97,17.7,0.17,2199.11,123.13,,12-16
002840,华统股份,0.52,-1.89,3.83,14.31,0.74,5672.76,-1.96,,12-16
603689,皖天然气,0.38,22.58,,12.46,0.6,9540.74,40.0,,12-16
300587,天铁股份,0.59,-1.67,3.96,15.88,0.02,4607.33,3.52,,12-16
603278,大业股份,0.26,,2.08,13.36,-0.21,4062.07,,,12-16
002837,英维克,0.66,,1.75,42.27,-0.04,3332.31,24.63,,12-15
603035,常熟汽饰,0.85,11.84,4.89,17.67,0.36,17927.17,19.42,,12-15
300588,熙菱信息,0.23,7.62,1.63,13.78,0.05,1693.15,7.14,,12-15
603032,德新交运,0.55,,,35.36,0.72,5455.11,12.73,,12-15
603908,牧高笛,0.92,-3.16,,38.11,0.09,4598.77,31.99,,12-15
002838,道恩股份,0.72,10.77,4.52,17.43,0.05,4563.93,23.71,,12-15
603186,华正新材,0.36,-29.41,3.29,11.58,0.32,3519.97,-28.27,,12-14
603906,龙蟠科技,,,2.64,24.87,0.1,6388.45,56.38,,12-14
300586,美联新材,0.5,11.11,3.13,17.31,0.75,3419.48,12.27,,12-14
603929,亚翔集成,0.36,20.0,2.84,13.38,-0.13,5781.48,22.03,,12-12
300626,华瑞股份,0.31,29.17,2.45,13.51,0.43,2326.42,29.1,,12-12
002861,瀛通通讯,1.1,-7.56,,39.02,1.24,9756.48,-1.52,,12-09
603041,美思德,0.87,4.82,,29.91,0.7,6542.18,4.75,,12-09
300716,国立科技,,,2.97,24.12,0.28,1411.84,,,12-09
002910,庄园牧场,0.33,,,8.0,1.07,3463.87,,,12-09
002858,力盛赛车,0.55,0.0,3.19,19.11,0.55,2506.51,7.78,,12-09
002851,麦格米特,0.18,-68.08,3.65,4.99,0.28,2364.65,-68.08,,12-09
001965,招商公路,,,,,,221181.42,,,12-09
603218,日月股份,0.39,30.0,,21.53,,13953.03,60.01,,12-08
300579,数字认证,0.7,37.25,2.4,32.97,0.62,4172.0,37.28,,12-08
002833,弘亚数控,0.68,30.77,1.69,43.05,0.53,6812.46,31.78,,12-07
300582,英飞特,0.95,111.11,3.39,42.66,0.81,9369.62,112.42,,12-07
300581,晨曦航空,0.92,-9.07,3.48,30.93,-0.37,3113.14,-2.76,,12-07
603886,元祖股份,0.69,-45.67,2.32,25.24,1.25,12366.52,-36.56,,12-06
002835,同为股份,0.78,11.43,2.47,37.32,0.69,6298.25,11.48,,12-06
300577,开润股份,,,2.23,,0.28,2278.54,9.83,,12-06
002832,比音勒芬,1.2,16.5,3.7,38.59,1.28,9587.56,16.76,,12-06
600996,贵广网络,0.26,271.43,1.16,25.53,0.8,21912.74,293.54,,12-05
300576,容大感光,0.39,2.63,2.91,14.36,0.19,2356.26,2.01,,12-05
603298,杭叉集团,0.57,21.28,,23.07,0.78,30403.35,38.07,,12-05
603058,永吉股份,0.51,4.04,,21.14,0.33,9671.25,4.51,,12-02
300575,中旗股份,1.25,22.55,5.67,24.59,1.91,6887.55,22.97,,12-02
603356,华菱精工,,,,19.54,,3354.52,,,12-02
300729,乐歌股份,0.59,,3.15,20.23,0.45,3523.09,,,12-02
603676,卫信康,,,,46.06,,8295.05,,,12-02
603661,恒林股份,0.81,,,17.32,2.02,6047.7,,,12-02
300580,贝斯特,,,8.3,15.7,3.02,6514.32,51.06,,12-01
603577,汇金通,0.66,20.39,,16.94,1.19,5104.61,20.39,,12-01
603768,常青股份,0.8,23.08,2.97,31.18,-0.26,12248.62,32.77,,12-01
002829,星网宇达,1.27,67.11,3.83,39.54,1.24,6971.43,78.77,,11-30
603823,百合花,0.6,22.45,2.28,30.04,0.92,10852.06,23.46,,11-29
002830,名雕股份,1.02,6.25,,23.49,3.0,5079.11,6.08,,11-29
603416,信捷电气,0.83,25.76,,36.86,0.55,6243.18,35.21,,11-29
300613,富瀚微,0.96,118.18,1.86,61.88,1.0,2891.41,120.81,,11-28
603878,武进不锈,1.21,57.14,,22.41,1.0,18405.66,57.6,,11-28
300571,平治信息,0.76,26.67,2.25,40.6,0.68,2274.35,31.03,,11-28
300573,兴齐眼药,0.77,5.48,5.61,14.69,0.14,4609.73,5.48,,11-25
002853,皮阿诺,,,2.88,56.14,2.25,5499.4,111.73,,11-25
603389,亚振家居,0.48,50.0,1.94,28.0,0.65,7866.72,56.43,,11-25
